Calendar_Year,Station_Name,Day_Type,Average_Daily_Station_Boardings
2022,Lafarge Lake-Douglas Station,MF,1867
2022,Lafarge Lake-Douglas Station,Sat,1254
2022,Lafarge Lake-Douglas Station,Sun/Hol,911
2022,Lake City Way Station,MF,839
2022,Lake City Way Station,Sat,426
2022,Lake City Way Station,Sun/Hol,305
2022,Langara-49th Avenue Station,MF,6286
2022,Langara-49th Avenue Station,Sat,4390
2022,Langara-49th Avenue Station,Sun/Hol,3542
2022,Lansdowne Station,MF,3253
2022,Lansdowne Station,Sat,3123
2022,Lansdowne Station,Sun/Hol,2408
2022,Lincoln Station,MF,2909
2022,Lincoln Station,Sat,2609
2022,Lincoln Station,Sun/Hol,1928
2022,Lougheed Town Centre Station,MF,9092
2022,Lougheed Town Centre Station,Sat,6816
2022,Lougheed Town Centre Station,Sun/Hol,4939
2022,Main Street-Science World Station,MF,9224
2022,Main Street-Science World Station,Sat,8341
2022,Main Street-Science World Station,Sun/Hol,6031
2022,Marine Drive Station,MF,8176
2022,Marine Drive Station,Sat,7162
2022,Marine Drive Station,Sun/Hol,5844
2022,Metrotown Station,MF,19179
2022,Metrotown Station,Sat,18187
2022,Metrotown Station,Sun/Hol,14326
2022,Moody Centre Station,MF,1873
2022,Moody Centre Station,Sat,1537
2022,Moody Centre Station,Sun/Hol,1066
2022,Nanaimo Station,MF,5445
2022,Nanaimo Station,Sat,4602
2022,Nanaimo Station,Sun/Hol,3515
2022,New Westminster Station,MF,11709
2022,New Westminster Station,Sat,8742
2022,New Westminster Station,Sun/Hol,6331
2022,Oakridge-41st Avenue Station,MF,5837
2022,Oakridge-41st Avenue Station,Sat,4904
2022,Oakridge-41st Avenue Station,Sun/Hol,3778
2022,Olympic Village Station,MF,3164
2022,Olympic Village Station,Sat,2472
2022,Olympic Village Station,Sun/Hol,1843
2022,Patterson Station,MF,3209
2022,Patterson Station,Sat,2858
2022,Patterson Station,Sun/Hol,2215
2022,Production Way-University Station,MF,4282
2022,Production Way-University Station,Sat,1841
2022,Production Way-University Station,Sun/Hol,1306
2022,Renfrew Station,MF,2624
2022,Renfrew Station,Sat,1830
2022,Renfrew Station,Sun/Hol,1449
2022,Richmond-Brighouse Station,MF,8538
2022,Richmond-Brighouse Station,Sat,7191
2022,Richmond-Brighouse Station,Sun/Hol,5679
2022,Royal Oak Station,MF,4416
2022,Royal Oak Station,Sat,3394
2022,Royal Oak Station,Sun/Hol,2543
2022,Rupert Station,MF,2179
2022,Rupert Station,Sat,1897
2022,Rupert Station,Sun/Hol,1566
2022,Sapperton Station,MF,2331
2022,Sapperton Station,Sat,1417
2022,Sapperton Station,Sun/Hol,1012
2022,Scott Road Station,MF,8576
2022,Scott Road Station,Sat,6582
2022,Scott Road Station,Sun/Hol,5040
2022,Sea Island Station,MF,785
2022,Sea Island Station,Sat,485
2022,Sea Island Station,Sun/Hol,462
2022,Sperling-Burnaby Lake Station,MF,1466
2022,Sperling-Burnaby Lake Station,Sat,1084
2022,Sperling-Burnaby Lake Station,Sun/Hol,799
2022,Stadium-Chinatown Station,MF,10577
2022,Stadium-Chinatown Station,Sat,10658
2022,Stadium-Chinatown Station,Sun/Hol,7194
2022,Surrey Central Station,MF,11804
2022,Surrey Central Station,Sat,9383
2022,Surrey Central Station,Sun/Hol,7152
2022,Templeton Station,MF,2769
2022,Templeton Station,Sat,3147
2022,Templeton Station,Sun/Hol,3093
2022,Vancouver City Centre Station,MF,11722
2022,Vancouver City Centre Station,Sat,10591
2022,Vancouver City Centre Station,Sun/Hol,8629
2022,VCC-Clark Station,MF,2137
2022,VCC-Clark Station,Sat,1082
2022,VCC-Clark Station,Sun/Hol,722
2022,Waterfront Station,MF,23427
2022,Waterfront Station,Sat,19872
2022,Waterfront Station,Sun/Hol,15770
2022,Yaletown-Roundhouse Station,MF,7364
2022,Yaletown-Roundhouse Station,Sat,6986
2022,Yaletown-Roundhouse Station,Sun/Hol,5408
2022,YVR-Airport Station,MF,6153
2022,YVR-Airport Station,Sat,5772
2022,YVR-Airport Station,Sun/Hol,6139
