Exchange_Name,Exchange_Primary_Type,Municipality,Sub_Region,YearOpen,Line_Connections,Connecting_Stops,Rail_SeaBus_Connections,BusExch_MF_Avg_Daily_Boardings,BusExch_MF_Avg_Daily_Alightings,BusExch_Sat_Avg_Daily_Boardings,BusExch_Sat_Avg_Daily_Alighting,BusExch_SunHol_Avg_Daily_Boardings,BusExch_SunHol_Avg_Daily_Alightings,Rail_MF_Avg_Daily_Boardings,Rail_MF_Avg_Daily_Alightings,Rail_Sat_Avg_Daily_Boardings,Rail_Sat_Avg_Daily_Alightings,Rail_SunHol_Avg_Daily_Boardings,Rail_SunHol_Avg_Daily_Alightings,SeaBus_MF_Avg_Daily_Boardings,SeaBus_MF_Avg_Daily_Alightings,SeaBus_Sat_Avg_Daily_Boardings,SeaBus_Sat_Avg_Daily_Alightings,SeaBus_SunHol_Avg_Daily_Boardings,SeaBus_SunHol_Avg_Daily_Alightings,Population,Employment,Population_Employment_Area,BusExch_On_Off_Street,Bike_Parkade,Bike_Locker_s_,TSPR_Year,Exch_Centre_Longitude,Exch_Centre_Latitude,OBJECTID,GlobalID,x,y
King George,Station,Surrey,Southeast,1994,096; 314; 321; 326; 329; 345; 394; 395; 502; 503,54990; 54996; 58164; 59339,Expo/Millennium Line,3700,11600,1500,6600,1200,4761,15210,7540,9400,4380,6970,3320,0,0,0,0,0,0,11000,8000,Within 800m of centre point of location (all exchange points/facilities),On-Street,Yes,No,2019,-122.844749,49.182796,126,fb2d6036-792b-445a-ab47-1293eec7d444,-13674897.6302,6305877.8298
Knight Street-Marine Drive,Exchange,Vancouver,Vancouver/UBC,1974,022; 100; 405; 407; N20,51318; 52140; 52205; 56958,None,2000,1700,1100,960,1000,857,0,0,0,0,0,0,0,0,0,0,0,0,7100,2100,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2019,-123.075604,49.211099,127,3e08c2cf-bf8d-4da5-8f6a-05f2c5df6220,-13700713.5133,6310756.7619
Kootenay,Exchange,Vancouver,Vancouver/UBC,1950,014; 027; 028; 095; 130; 131; 160; N35,50955; 51470; 51695; 52717; 58042; 58043; 58143; 59889,None,4300,4200,2900,2900,2300,2365,0,0,0,0,0,0,0,0,0,0,0,0,9600,1500,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2019,-123.026275,49.28129,128,af1ad736-dd4b-41cd-8227-8ea10fd9b9e1,-13695222.244,6322725.8923
Ladner,Exchange,Delta,Southwest,1978,310; 601; 606; 608; 616; 617; 618; 620; 640,55164; 56664; 56673; 57395; 57396; 57518; 57562,None,1500,1400,1000,950,950,910,0,0,0,0,0,0,0,0,0,0,0,0,5200,1100,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2019,-123.061363,49.087673,129,9fd8fc9d-fafa-405a-a116-04b1f380601b,-13699128.3205,6289750.8525
Lafarge Lake-Douglas,Station,Coquitlam,Northeast Sector,2016,160; 183; 186; 188; 191; N9,53743; 53868; 58666; 59565,Expo/Millennium Line,880,640,420,320,370,222,3060,3030,1690,1690,1330,1400,0,0,0,0,0,0,15000,3000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2019,-122.791638,49.285748,130,31d2ab3e-09f6-46b3-a13a-9ed2e8c8cd28,-13669149.6728,6323424.5202
Lake City Way,Station,Burnaby,Burnaby/New Westminster,2003,134; 136; N9,53305; 53308; 58363,Expo/Millennium Line,70,90,30,30,40,23,1280,1340,670,650,480,490,0,0,0,0,0,0,3000,2000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2019,-122.939039,49.254618,131,c43b8215-31e9-4136-bcf3-667e7b474001,-13685437.9943,6318169.114
Langara-49th Avenue,Station,Vancouver,Vancouver/UBC,2009,015/050; 049; N15,50985; 50999; 61218,Canada Line,2300,3500,1500,2800,1100,2251,8470,8130,5590,5200,4480,4350,0,0,0,0,0,0,8000,4000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2019,-123.116569,49.225737,132,ce6e1fdd-bac5-4c47-aa5a-7b88ae782c99,-13705246.8458,6313324.5204
Langley Centre,Exchange,Langley City,Southeast,1975,320; 342; 364; 372; 395; 501; 502; 503; 531; 560/561; 562; 563; 564; 595,55299; 57027; 57097; 57136; 57143; 57188; 59863,None,3900,3600,2700,2600,2100,2051,0,0,0,0,0,0,0,0,0,0,0,0,7200,7200,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2019,-122.654344,49.106391,133,df4cc7f9-ff55-4234-8184-4fce644e4526,-13653819.0926,6292933.1033
Lansdowne,Station,Richmond,Southwest,2009,403; 405; 410; 416; N10,56454; 58196; 59771; 61978,Canada Line,620,680,580,620,430,498,4940,5190,4250,4350,3320,3420,0,0,0,0,0,0,16000,10000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2019,-123.136355,49.173716,134,9ec782da-f410-4188-86e2-2e91531fb431,-13707474.1595,6304495.8062
Lincoln,Station,Coquitlam,Northeast Sector,2016,160; 183; 186; 188; N9,59890; 59935,Expo/Millennium Line,930,1200,660,950,540,690,4200,4050,3470,3150,2640,2410,0,0,0,0,0,0,14000,7000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2019,-122.79382,49.280416,135,9f77fc6b-7eb6-49a8-92c2-da11a6ea282b,-13669353.8486,6322541.5473
Lonsdale Quay,Station,North Vancouver City,North Shore,1977,229; 230; 236; 239; 242,50980; 54134; 54410; 54516; 60363,SeaBus,3600,1200,3100,1200,2400,936,0,0,0,0,0,0,9500,9200,7700,7300,5100,5200,11200,6300,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2019,-123.083044,49.310395,136,7d6c631b-7963-41f0-834f-319c3f3d49fe,-13701541.7761,6327694.0561
Lougheed Town Centre,Station,Burnaby,Burnaby/New Westminster,2002,101; 109; 110; 136; 152; 156; 157; 180; 555; N9,58430; 58431; 58432; 58433; 58434; 58436; 58437; 58438; 58439,Expo/Millennium Line,6300,5800,3000,2700,2200,1868,13130,13090,8720,8750,6570,6600,0,0,0,0,0,0,16000,9000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2019,-122.896859,49.248431,137,25cf2940-5baa-43d1-88f8-b9681d93cc49,-13680715.2069,6317073.8275
Lynn Valley Centre NightBus,Exchange,North Vancouver District,North Shore,,209; 210; 227; 228; 229; 242; 255; N24,53977; 54002; 54003; 54182; 59526,None,1300,1100,920,840,760,700,0,0,0,0,0,0,0,0,0,0,0,0,10100,1900,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-123.03842,49.336837,138,dc3e11e5-22b4-4500-be57-89995b1e432e,-13696574.2401,6332210.1212
Main Street-Science World,Station,Vancouver,Vancouver/UBC,1983,003; 008; 019; 022; 023; N19; N8,50181; 50233; 59925; 59929,Expo/Millennium Line,6700,5800,5500,4900,4300,3630,15170,14710,11820,11590,8790,8400,0,0,0,0,0,0,11000,13000,Within 800m of centre point of location (all exchange points/facilities),On-Street,Yes,No,2019,-123.100344,49.273152,139,4d9da575-90f9-4766-9708-023940ea5138,-13703498.1331,6321343.5454
Maple Meadows,Station,Maple Ridge,Maple Ridge/Pitt Meadows,1995,595; 701; 719/722; 743; 744; 791,57585; 57654; 57670; 57753; 60233,West Coast Express,1100,1000,640,590,480,415,670,680,10,0,0,0,0,0,0,0,0,0,5000,3000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2019,-122.666697,49.216661,140,92ad7e9d-48c0-4429-9ed2-130c56c3b2c5,-13655148.4735,6311765.2881
Marine Drive,Station,Vancouver,Vancouver/UBC,2009,003; 010; 015/050; 017; 100; N15; N20; N8,61337; 61338,Canada Line,6300,5900,4700,4400,4000,3528,11170,11130,9280,8870,7660,7580,0,0,0,0,0,0,9000,3000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2019,-123.117073,49.209785,141,6937d11f-e266-42f0-8b58-9fd1b7645605,-13705186.6983,6310458.7849
Marpole,Exchange,Vancouver,Vancouver/UBC,1905,010; 100; 480,50738; 51120; 52123; 52220; 54824; 59930,None,1400,1000,830,550,670,508,0,0,0,0,0,0,0,0,0,0,0,0,8400,4600,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-123.133159,49.203212,142,1e06eed9-4cf8-4b8d-9d64-62b0cf140460,-13707120.5127,6309412.7897
Matthews,Exchange,Delta,Southwest,1987,310; 311; 351,54876; 54877; 54878; 55179,None,210,210,130,130,140,139,0,0,0,0,0,0,0,0,0,0,0,0,300,310,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2019,-122.95945,49.090558,143,724d4ef7-027c-4fcb-9f4b-f0b8cbb5396a,-13687783.3157,6290241.1366
Meadowtown,Exchange,Pitt Meadows,Maple Ridge/Pitt Meadows,,719/722; 743; 744,59616; 59617,None,70,60,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,1400,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-122.672599,49.221824,144,451c8a97-d8ff-426b-b0a9-42bf419f50de,-13655851.2568,6312584.4446
Metrotown,Station,Burnaby,Burnaby/New Westminster,1985,019; 049; 110; 112; 116; 119; 129/133; 130; 144; 146; 147; 430,51164; 51999; 52390; 52646; 52692; 52736; 52804; 59544; 60195; 60211; 60212; 60214,Expo/Millennium Line,18200,14800,13000,10400,10400,8301,26080,28370,23370,24910,18670,20110,0,0,0,0,0,0,24000,13000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,Yes,No,2019,-123.003807,49.225769,145,95fcbba0-3180-4578-a068-3c3490bd3a2e,-13692660.6012,6313258.374
Mission City,Station,Mission,Outside of region,1995,701,60979,West Coast Express,40,40,0,0,0,0,530,400,30,0,10,0,0,0,0,0,0,0,3000,2000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2019,-122.303974,49.133695,146,897b7d9f-c957-4a27-9b00-606385955d00,-13614760.2864,6297486.0314
Moody Centre,Station,Port Moody,Northeast Sector,1995,160; 180; 181; 182; 183; 184/185,58945; 61889; 61890; 61891; 61892; 61911; 61912; 61922,Expo/Millennium Line; West Coast Express,1500,1400,600,670,460,475,2540,2320,1780,1800,1250,1260,0,0,0,0,0,0,3000,2000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2019,-122.845861,49.278031,147,d718a3c2-5fb1-41dc-9e1e-429fe2f47947,-13675188.4734,6322112.5429
Nanaimo,Station,Vancouver,Vancouver/UBC,1985,007; 025,51560; 60314,Expo/Millennium Line,1300,2400,630,1800,500,1524,6930,6670,5400,4980,4260,4050,0,0,0,0,0,0,12000,2000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2019,-123.05572,49.248243,148,31c66b86-4939-42e8-a6a6-cbd64b6c11df,-13698521.256,6317102.1177
New Westminster,Station,New Westminster,Burnaby/New Westminster,1985,103; 105; 106; 109; 112; 123; 321; N19,61649; 61651; 61652; 61654; 61655; 61656; 61657; 61678,Expo/Millennium Line,7200,4900,5200,3600,4000,2620,16390,17130,11620,12010,8470,8920,0,0,0,0,0,0,17000,5000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-122.912623,49.201418,149,71ff4409-e540-4809-b039-0a68294347a1,-13682601.3223,6309080.8588
Newton,Exchange,Surrey,Southeast,1975,096; 301; 319; 321; 322; 323; 324; 325; 335; 341; 342; 393,55411; 55456; 55538; 55578; 55645; 55688; 55944; 56019; 61704; 61705,None,14900,13800,11000,10500,9300,8591,0,0,0,0,0,0,0,0,0,0,0,0,9800,4800,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2019,-122.842792,49.133023,150,6c611217-1740-4eff-9b29-bd10d8682f9f,-13674797.0493,6297462.8312
NightBus District,Exchange,Vancouver,Vancouver/UBC,2003,004; 007; 010; 014; 015/050; 016; N10; N15; N17; N19; N20; N22; N24; N35; N8; N9,50526; 59832; 61917,None,3000,970,1800,760,1300,548,0,0,0,0,0,0,0,0,0,0,0,0,24900,102000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-123.117092,49.284537,151,1be6973f-a2d9-48ba-bb05-8c5cd5fa2886,-13705332.0161,6323280.008
Oakridge-41st Avenue,Station,Vancouver,Vancouver/UBC,2009,015/050; 041; N15,50159; 50467; 50621; 50981,Canada Line,1400,1900,1400,2600,1100,2067,8460,8360,7060,6770,5650,5650,0,0,0,0,0,0,7000,4000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2019,-123.116271,49.232943,152,f90d7060-4d37-4ac3-b92e-fedc90f7cc12,-13705230.2145,6314580.7849
Olympic Village,Station,Vancouver,Vancouver/UBC,2009,015/050; 084,61039; 61040; 61254,Canada Line,2300,2300,1100,1100,680,596,5560,4860,3280,2950,2420,2200,0,0,0,0,0,0,13000,18000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2019,-123.114801,49.26657,153,93debb81-711e-4a88-a96a-cfea314da69e,-13705154.6384,6320169.5191
Park Royal,Exchange,West Vancouver,North Shore,1959,239; 250; 251; 252; 253; 254; 255; 256; 257; 258,54411; 54441; 54442; 54608; 61772; 61776; 61782,None,5800,5800,5200,5100,4100,3982,0,0,0,0,0,0,0,0,0,0,0,0,4500,5000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-123.137719,49.327948,154,af25c2da-3fb6-41d2-b82c-463f72fc5289,-13707628.2036,6330691.6854
Patterson,Station,Burnaby,Burnaby/New Westminster,1985,110; 112; 125; 129/133,52515; 52586; 61549,Expo/Millennium Line,1400,1200,500,440,410,371,4990,4900,3560,3460,2800,2770,0,0,0,0,0,0,17000,5000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2019,-123.01264,49.229748,155,e527df74-d77e-451a-97bd-b462d9171ee1,-13693685.1927,6313925.4745
Phibbs,Exchange,North Vancouver District,North Shore,1973,028; 130; 209; 210; 211; 212; 214; 215; 227; 232; 239,50447; 50448; 51747; 51761; 54026; 54077; 54100; 54119; 54333; 54424; 61011,None,7400,7000,4200,4200,3200,3026,0,0,0,0,0,0,0,0,0,0,0,0,2500,3700,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2019,-123.028744,49.305502,156,1d7fef59-f616-4f8e-964a-8d75d72b17c1,-13695497.1826,6326858.5869
Pitt Meadows,Station,Pitt Meadows,Maple Ridge/Pitt Meadows,1995,701; 719/722; 791,57577; 57663; 59796,West Coast Express,130,170,70,80,50,58,390,380,0,0,0,0,0,0,0,0,0,0,3000,3000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2019,-122.687865,49.225662,157,2a2c7adb-a755-4921-bf90-1505c4a4fca4,-13657574.3476,6313206.5914
Port Coquitlam,Station,Port Coquitlam,Northeast Sector,1995,151; 159; 160; 170; 173/174; 175; 188,53348; 53440; 53740; 53767; 53777; 53783,West Coast Express,620,610,200,220,190,218,1030,990,0,0,10,10,0,0,0,0,0,0,5000,4000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2019,-122.773982,49.261497,158,2504f35a-eb49-4276-b660-353954c870c1,-13667177.1709,6319254.4734
Port Haney,Station,Maple Ridge,Maple Ridge/Pitt Meadows,1995,733; 741; 743; 745/746; 748,57695; 57703; 59709,West Coast Express,170,190,0,0,0,0,520,460,0,0,0,0,0,0,0,0,0,0,4000,1000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2019,-122.606021,49.212335,159,f0a69c14-fac3-4a98-8d3a-a0d878e46bb1,-13648409.9863,6310977.8418
Production Way-University,Station,Burnaby,Burnaby/New Westminster,2002,110; 136; 145; N9,58349; 59314; 59315; 59316,Expo/Millennium Line,5200,5100,2100,2200,1400,1442,6440,6450,2670,2500,1870,1830,0,0,0,0,0,0,2000,4000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2019,-122.91813,49.253407,160,b7a0daff-5f1a-4fdf-b18a-d7f7bd932887,-13683179.9774,6318022.6364
Renfrew,Station,Vancouver,Vancouver/UBC,2002,016,51082; 58401,Expo/Millennium Line,1200,1000,850,850,760,669,4360,4090,2550,2290,2100,1920,0,0,0,0,0,0,9000,5000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2019,-123.045286,49.25893,161,cd25daf9-78ea-490d-9143-c0af2162d76a,-13697235.7489,6318952.026
Richmond-Brighouse,Station,Richmond,Southwest,2009,301; 401; 402; 403; 404; 405; 406; 407; 408; 410; 414; 416; 430; N10,56451; 56480; 56546; 56549; 56689; 58279; 58624; 61332; 61334,Canada Line,12300,12100,8200,8000,7000,6446,12510,11590,9620,9030,7660,7330,0,0,0,0,0,0,19000,11000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2019,-123.136345,49.168295,162,7d34c5d8-204d-4d20-8931-91aab3b850c3,-13707498.7769,6303285.0934
Royal Oak,Station,Burnaby,Burnaby/New Westminster,1985,148,59781,Expo/Millennium Line,300,290,160,170,180,149,5970,5770,4100,4030,3160,3150,0,0,0,0,0,0,12000,5000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-122.988428,49.220063,163,a10c2190-de28-43da-bffe-4a19a2f89520,-13691006.5482,6312283.1054
Rupert,Station,Vancouver,Vancouver/UBC,2002,027,58129; 58130,Expo/Millennium Line,600,510,470,400,330,264,2920,2790,2320,2130,1980,1870,0,0,0,0,0,0,6000,8000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2019,-123.032865,49.26076,164,0aa70dda-19bd-4f1d-b1cf-fe52f7f5116f,-13695981.4314,6319219.9393
SFU,Exchange,Burnaby,Burnaby/New Westminster,1993,095; 143; 144; 145; N35,51861; 52807; 52998; 53096,None,7500,6800,2100,2200,1300,1388,0,0,0,0,0,0,0,0,0,0,0,0,3700,1400,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2019,-122.912628,49.278712,165,c490b327-9804-4369-9f49-aae93d2e8f27,-13682571.1737,6322286.0397
Sapperton,Station,New Westminster,Burnaby/New Westminster,2002,109,53111; 53218,Expo/Millennium Line,20,30,10,20,10,15,3320,3160,1680,1530,1230,1100,0,0,0,0,0,0,6000,6000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-122.889394,49.224651,166,93c6ddf8-5026-4ed4-845a-afb90ac5a707,-13680045.4396,6313144.369
Scott Road,Station,Surrey,Southeast,1990,312; 319; 321; 371; 391; 640; N19,53104; 55096; 55835; 57566,Expo/Millennium Line,8400,7800,5500,5100,4200,3939,10370,10600,7170,7080,5390,5380,0,0,0,0,0,0,1000,1000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2019,-122.874168,49.204428,167,102bc325-5e04-4155-a98a-8be1e54b38a8,-13678223.2577,6309495.9273
Scottsdale,Exchange,Surrey,Southeast,1998,301; 310; 311; 312; 316; 319; 322; 329; 340; 364; 391,54793; 54887; 55041; 55178; 55192; 55499; 55941; 56022; 56394,None,5000,4800,3400,3400,2800,2803,0,0,0,0,0,0,0,0,0,0,0,0,9400,2900,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2019,-122.88816,49.137548,168,21a84a8a-0bd6-406e-a3d7-2ddb47bac618,-13679847.3883,6298232.6827
Sea Island Centre,Station,Richmond,Southwest,2009,N10,52112; 52228,Canada Line,0,0,0,0,0,0,1040,1140,610,690,560,650,0,0,0,0,0,0,0,1000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-123.159011,49.192682,169,b7398e85-f8e6-4aa4-ba0e-80c3be86ddef,-13709877.5057,6307633.2131
Snug Cove,Exchange,Bowen Island,North Shore,,280; 281; 282,58013,None,40,70,50,30,50,31,0,0,0,0,0,0,0,0,0,0,0,0,510,290,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-123.333561,49.379762,170,220d139f-ef77-4bde-8c7e-1ec21937b6c3,-13729429.1893,6339546.5369
South Delta,Exchange,Delta,Southwest,1975,601; 602; 603; 604; 609; 614; 619,57377; 58597; 59852,None,310,310,150,130,120,116,0,0,0,0,0,0,0,0,0,0,0,0,2900,780,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-123.067915,49.036056,171,7a51f19e-2987-435e-8c60-3f6a56eaafe5,-13699857.6622,6280981.5289
South Surrey,Exchange,Surrey,Southeast,1991,321; 351; 352; 354; 394,59810; 59931; 59932; 59933,None,1600,1600,930,840,840,760,0,0,0,0,0,0,0,0,0,0,0,0,830,90,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2019,-122.821967,49.072485,172,924e89a8-416f-4a5e-b656-c101f304de14,-13672478.8088,6287169.5201
Sperling-Burnaby Lake,Station,Burnaby,Burnaby/New Westminster,2002,110; 134; 144,58440; 58441; 58442,Expo/Millennium Line,1600,1400,830,730,680,602,2120,1960,1360,1230,1050,980,0,0,0,0,0,0,4000,1000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2019,-122.963858,49.259163,173,798017f9-c3c3-46bc-a891-ad93ac9d966f,-13688296.8414,6318914.7467
Stadium-Chinatown,Station,Vancouver,Vancouver/UBC,1985,005/006; 023; 240; 241; 242; 246/249; 247; 250; 253; 254; 257; N15; N24,50081; 59550; 59558; 59991; 59992; 60302; 60369,Expo/Millennium Line,3300,2100,2500,1400,1900,1251,16970,17680,14500,15580,10030,9990,0,0,0,0,0,0,26000,48000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2019,-123.109171,49.279293,174,74f66f29-1b59-43aa-b6f2-9938ae792400,-13704512.3906,6322440.0125
Stanley Park,Loop,Vancouver,Vancouver/UBC,2003,019,58727; 58728,None,600,620,780,880,790,794,0,0,0,0,0,0,0,0,0,0,0,0,150,500,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2019,-123.133859,49.300537,175,5842588f-2638-41b8-8047-f5c22f473344,-13707198.4371,6326010.8674
Steveston,Exchange,Richmond,Southwest,,401; 402; 406; 407; 413,56421; 56517,None,860,420,900,340,770,337,0,0,0,0,0,0,0,0,0,0,0,0,6600,1700,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-123.184108,49.126421,176,a9cf41c0-95c6-4ad2-98f1-3ee61ffa001a,-13712792.1994,6296339.6173
Surrey Central,Station,Surrey,Southeast,1994,096; 314; 316; 320; 321; 323; 324; 325; 326; 329; 335; 337; 371; 373; 393; 501; 502; 503; 509; N19,54993; 55070; 55210; 55441; 55612; 55713; 55714; 55738; 55836; 56395; 56406; 61035; 61036; 61677; 61787,Expo/Millennium Line,26900,18000,19100,13600,14900,10469,14070,21010,10090,14720,7730,11280,0,0,0,0,0,0,12000,7000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2019,-122.847856,49.189525,177,56aee02f-df0e-4bc6-af30-e6fdc9d97675,-13675352.3577,6307050.8802
Templeton,Station,Richmond,Southwest,2009,N10,52115; 52226,Canada Line,0,0,0,0,0,0,3550,3660,3730,3840,3700,3990,0,0,0,0,0,0,0,1000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2019,-123.14657,49.19667,178,b735c3f6-3353-4afb-a98e-db62588ee9de,-13708603.055,6308310.1725
Tsawwassen Ferry Terminal,Exchange,Delta,Southwest,,620,56669; 61767,None,1100,990,1300,1300,1700,1366,0,0,0,0,0,0,0,0,0,0,0,0,0,80,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-123.130235,49.007172,179,d2ce2efc-1b9a-48a5-9ff6-3a6d53db6f2a,-13706795.0957,6276078.463
UBC,Exchange,UBC/UEL,Vancouver/UBC,1945,004; 009; 014; 025; 033; 041; 043; 044; 049; 068/070; 084; 099; 258; 480; N17,58292; 58895; 60158; 60159; 60160; 60162; 60163; 60164; 60358; 61701; 61702; 61935; 61979,None,23200,20600,9400,8600,6700,6568,0,0,0,0,0,0,0,0,0,0,0,0,5500,16800,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2019,-123.247907,49.267244,180,10935a7c-d917-43ae-955b-af63fc65fa48,-13719894.224,6320329.3395
VCC-Clark,Station,Vancouver,Vancouver/UBC,2006,084,59767; 59803,Expo/Millennium Line,2300,2100,450,530,230,247,3770,3390,1260,1050,860,710,0,0,0,0,0,0,13000,6000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2019,-123.078798,49.265767,181,b95d2a79-f568-4891-a74d-eb5bd8966002,-13701084.713,6320077.4325
Vancouver City Centre,Station,Vancouver,Vancouver/UBC,2009,004; 007; 010; 014; 015/050; 016; 240; 241; 242; 246/249; 247; 250; 253; 254; 257; N10; N15; N17; N19; N20; N22; N24; N35; N8; N9,50976; 54445; 58504; 60980; 61031,Canada Line; Expo/Millennium Line,10500,6900,8600,5500,6400,4476,19060,20280,14310,15280,11980,12400,0,0,0,0,0,0,34000,105000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-123.118192,49.282419,182,db5ad621-2c07-4c7c-b195-b9a2cbfdc405,-13705460.9985,6322907.4808
Waterfront,Station,Vancouver,Vancouver/UBC,1985,003; 004; 007; 008; 010; 015/050; 044; 095; N8,50035; 50040; 50408; 58202,Canada Line; Expo/Millennium Line; SeaBus; West Coast Express,4000,2200,2500,1600,1900,1251,19000,19440,12570,13290,10290,10750,9200,9500,7300,7700,5200,5100,17000,91000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-123.113122,49.286603,183,3de2fe07-583c-4f34-bd74-9e758b8fcc85,-13704774.079,6323529.6582
White Rock Centre,Exchange,Surrey,Southeast,1975,321; 345; 351; 354; 360; 361; 362; 363; 375; 394; 531,55383; 55488; 55489; 56030; 56081; 56136; 56280; 56388; 61629,None,2100,1800,1400,1300,1200,1148,0,0,0,0,0,0,0,0,0,0,0,0,13300,6300,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-122.801288,49.031979,184,fd82a841-dc41-4ca2-b1aa-dc7d8a959df5,-13670176.891,6280289.3535
YVR-Airport,Station,Richmond,Southwest,2009,N10,52107,Canada Line,10,20,20,20,10,20,8820,8520,7740,7400,8460,7380,0,0,0,0,0,0,0,2000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-123.178474,49.194308,185,da70932c-bea2-4d66-9a5b-f8ff5170bc24,-13712337.4376,6307826.1938
Yaletown-Roundhouse,Station,Vancouver,Vancouver/UBC,2009,005/006; 023,50016; 50023; 50085; 61215,Canada Line,2600,2200,1800,1200,1600,996,11320,10880,8860,9040,6900,6650,0,0,0,0,0,0,37000,24000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-123.122014,49.274577,186,c86f7975-591b-40b4-85e0-f3898d7cd6bc,-13705873.9355,6321549.8679
22nd Street,Station,New Westminster,Burnaby/New Westminster,1985,100; 101; 104; 128; 155; 340; 388; 410; 418,52183; 52230; 52373; 53497; 55933; 56919; 58173; 58322,Expo/Millennium Line,11800,11100,7200,7300,5800,5900,10710,10460,7310,6750,5840,5520,0,0,0,0,0,0,4000,800,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2023,-122.948947,49.200056,187,4a1daba3-fa53-4fe3-8f93-8feeeb81e847,-13686624.7978709,6308859.20013901
29th Avenue,Station,Vancouver,Vancouver/UBC,1985,016; 026; 029; 033,51056; 51603; 51818; 60208,Expo/Millennium Line,3700,3100,2900,2400,2400,2200,6510,6560,5420,5350,4330,4400,0,0,0,0,0,0,14000,2000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2023,-123.045944,49.244203,188,e06234b2-7dec-43a6-905c-6754098dda98,-13697354.4836691,6316393.97680038
