Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Dist_km,AVG_speed_km_per_hr,RANK_Annual_Boardings,Annual_Boardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours_with_Overc,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,NOTE,Exchange_Connections,Rail_Connections,SHAPE__Length,TSPR_Year,OBJECTID,SHAPE__Length_2,GlobalID
175,COQUITLAM CENTRAL STN/MERIDIAN,Northeast Sector,Mini-Bus,Peak Only - Limited,30000,29000,7.4,21 km/h,163,94735,379,0,272,0,78%,415211,6090,,Coquitlam Central; Port Coquitlam,Expo/Millennium Line; West Coast Express,17754.9169965788,2024,680,17754.9169965808,e4152090-9eba-45a6-84e7-79934a9c380f
180,MOODY CTR STN/LOUGHEED STN,Northeast Sector,Mini-Bus,Peak Frequent,54000,20000,9.1,23 km/h,99,680747,2251,1127,947,0,88%,2307460,28873,,Burquitlam; Lougheed Town Centre; Moody Centre,Expo/Millennium Line; West Coast Express,17452.5852141374,2024,681,17452.5852141422,6e180434-42a4-473b-aace-4e971b482642
181,MOODY CTR STN/IOCO,Northeast Sector,Mini-Bus,Basic,20000,9000,12.3,31 km/h,177,58320,195,100,70,0,87%,483298,7305,,Moody Centre,Expo/Millennium Line; West Coast Express,29676.4342776291,2024,682,29676.4342776343,64ae2934-8cb1-4dd4-9834-613d53cde134
182,MOODY CTR STN/BELCARRA,Northeast Sector,Mini-Bus,Basic,23000,10000,19.3,33 km/h,159,105897,337,197,179,0,76%,900376,13793,,Moody Centre,Expo/Millennium Line; West Coast Express,32886.2408036354,2024,683,32886.2408036201,5056c19e-fb30-4680-809f-ef30cb2a706b
183,MOODY CTR STN/COQUITLAM CENTRAL STN,Northeast Sector,Std. Bus,Peak Frequent,71000,28000,13.3,24 km/h,120,460058,1522,765,637,0,86%,2740231,30098,,Coquitlam Central; Inlet Centre; Lafarge Lake-Douglas; Lincoln; Moody Centre,Expo/Millennium Line; West Coast Express,26726.5473553126,2024,684,26726.5473553077,7af4d652-dba0-40fe-b7f8-0b510a083ad8
184/185,COQUITLAM CENTRAL STN/LANSDOWNE/MOODY CTR STN/NOONS CREEK,Northeast Sector,Mini-Bus,Peak Frequent,40000,23000,5.3,25 km/h,141,220649,735,361,289,0,90%,1458260,21055,,Coquitlam Central; Inlet Centre; Moody Centre,Expo/Millennium Line; West Coast Express,19585.6360061066,2024,685,19585.6360060994,fe52d1a6-0bc1-4614-90e8-f2cc2652faff
186,COQUITLAM CENTRAL STN/HAMPTON PARK,Northeast Sector,Mini-Bus,Peak Frequent,43000,17000,6.5,23 km/h,138,238725,758,476,389,1,88%,845912,13012,,Coquitlam Central; Lafarge Lake-Douglas; Lincoln,Expo/Millennium Line; West Coast Express,15677.7526645444,2024,686,15677.7526645574,054886fb-6a30-40f2-8149-6f330802c489
187,COQUITLAM CENTRAL STN/PARKWAY BLVD,Northeast Sector,Mini-Bus,Peak Frequent,32000,16000,6.5,24 km/h,135,270818,874,503,415,0,87%,948494,14116,,Coquitlam Central,Expo/Millennium Line; West Coast Express,19709.3079556069,2024,687,19709.307955614,072ac3f4-8db4-47aa-93e0-745561c4bc5e
188,COQUITLAM CENTRAL STN/PORT COQ STN,Northeast Sector,Std. Bus,Peak Frequent,68000,28000,12.6,26 km/h,106,620190,2018,1131,907,1,90%,2725301,25954,,Coquitlam Central; Lafarge Lake-Douglas; Lincoln; Port Coquitlam,Expo/Millennium Line; West Coast Express,27215.4558507673,2024,688,27215.4558507564,cee83f06-4b22-43c2-b56e-859bd50d4f09
189,COQUITLAM CENTRAL STN/LAFARGE PARK,Northeast Sector,Mini-Bus,Standard,26000,13000,4.1,20 km/h,166,91324,288,180,156,0,89%,620567,7463,,Coquitlam Central,Expo/Millennium Line; West Coast Express,9306.99553627768,2024,689,9306.99553626313,397698d3-90cf-4a68-ade1-d551754d1c03
