SeasonYear,Lineno_renamed,DayType,Season,Hour_Range,Annual_Revenue_Hours,Annual_Service_Hours,Average_Trips_Per_Clock_Hour_Per_Direction,Average_Boardings_Per_Revenue_Hour,Average_Boardings_Per_Trip
2022,9,SUN,Summer,4,36.9933333,62.1933333,4,16.01214595,6.17023596
2022,9,SUN,Summer,6,141.7066666,198.5066666,3.5,50.2135607,28.23649327
2022,9,SUN,Summer,9,638.42,813.82,6.583333333,62.88784295,42.35111466
2022,9,SUN,Summer,15,337.4133333,418.6133333,6.666666667,62.59736473,44.00246977
2022,9,SUN,Summer,18,195.4633333,285.8633333,4.5,62.16806937,37.50487057
2022,9,SUN,Summer,21,144.2933333,218.0933333,3.833333333,63.97034839,33.44382175
2022,9,SUN,Summer,24,65.5099999,102.9099999,2.5,18.42678564,7.185349556
2022,10,MF,Fall,4,723.6,842.4,4.5,21.06802082,11.76297829
2022,10,MF,Fall,6,2019.6,2383.2,7.666666667,69.15239866,42.16793005
2022,10,MF,Fall,9,2910,3550.8,4.166666667,68.8875258,55.68408335
2022,10,MF,Fall,15,2167.2,2463.6,5.666666667,86.34773932,76.4431457
2022,10,MF,Fall,18,1312.8,1598.4,4,62.07116781,47.15684554
2022,10,MF,Fall,21,876,1081.2,3,39.52585447,26.71654978
2022,10,MF,Fall,24,266.4,318,2,15.50995597,9.564472851
2022,10,MF,Summer,4,482.4,561.6,4.5,21.98671691,12.27591694
2022,10,MF,Summer,6,1346.4,1588.8,7.666666667,61.05980739,37.23320863
2022,10,MF,Summer,9,1940,2367.2,4.166666667,64.11296099,51.82464347
2022,10,MF,Summer,15,1444.8,1642.4,5.666666667,79.82315718,70.6669715
2022,10,MF,Summer,18,875.2,1065.6,4,63.53456842,48.26862351
2022,10,MF,Summer,21,584,720.8,3,42.78093123,28.91674055
2022,10,MF,Summer,24,177.6,212,2,18.63475942,11.49143498
2022,10,SAT,Fall,4,67,81.5,2.5,17.90775388,9.998495919
2022,10,SAT,Fall,6,222.75,265.75,4.311111111,44.0056511,25.13399688
2022,10,SAT,Fall,9,631.25,752.25,4.4,64.84526845,51.48877448
2022,10,SAT,Fall,15,317.5,377.5,4,77.2721555,68.14974826
2022,10,SAT,Fall,18,267.75,313.25,3.822222222,56.53379255,43.875139
2022,10,SAT,Fall,21,183.5,212.5,2.822222222,46.7693496,33.65559079
2022,10,SAT,Fall,24,59,69.5,2,33.24245697,21.79227735
2022,10,SAT,Summer,4,44.6666666,54.3333333,2.5,16.83413214,9.399057095
2022,10,SAT,Summer,6,146.8333332,177.1666666,4.333333333,40.93114309,23.11560066
