Route,Subregion,DayType,AvgDailyBoardings,Note
372,Southeast,Sun/Hol,,Route excluded due to poor data quality
373,Southeast,Sat,700,
373,Southeast,Mon-Fri,1000,
373,Southeast,Sun/Hol,600,
375,Southeast,Sat,1800,
375,Southeast,Mon-Fri,1400,
375,Southeast,Sun/Hol,1300,
388,Southeast,Mon-Fri,1000,
391,Southeast,Mon-Fri,200,
393,Southeast,Mon-Fri,300,
394,Southeast,Mon-Fri,200,
395,Southeast,Mon-Fri,300,
401,Southwest,Sat,1400,
401,Southwest,Mon-Fri,2100,
401,Southwest,Sun/Hol,1100,
402,Southwest,Sat,700,
402,Southwest,Mon-Fri,1200,
402,Southwest,Sun/Hol,600,
403,Southwest,Sat,2300,
403,Southwest,Mon-Fri,2700,
403,Southwest,Sun/Hol,1800,
404,Southwest,Sat,400,
404,Southwest,Mon-Fri,500,
404,Southwest,Sun/Hol,300,
405,Southwest,Sat,700,
405,Southwest,Mon-Fri,1200,
405,Southwest,Sun/Hol,500,
406,Southwest,Sat,1800,
406,Southwest,Mon-Fri,2300,
406,Southwest,Sun/Hol,1500,
407,Southwest,Sat,900,
407,Southwest,Mon-Fri,1900,
407,Southwest,Sun/Hol,800,
408,Southwest,Sat,1400,
408,Southwest,Mon-Fri,2300,
408,Southwest,Sun/Hol,1000,
410,Southwest,Sat,4700,
410,Southwest,Mon-Fri,6400,
410,Southwest,Sun/Hol,3800,
412,Southwest,Sat,,<100 average daily boardings
412,Southwest,Mon-Fri,200,
413,Southwest,Sat,100,
413,Southwest,Mon-Fri,200,
413,Southwest,Sun/Hol,,<100 average daily boardings
414,Southwest,Sat,,<100 average daily boardings
414,Southwest,Mon-Fri,,<100 average daily boardings
416,Southwest,Mon-Fri,100,
418,Southwest,Mon-Fri,500,
430,Southwest,Sat,2600,
430,Southwest,Mon-Fri,3500,
430,Southwest,Sun/Hol,2000,
501,Southeast,Sat,1900,
501,Southeast,Mon-Fri,2900,
501,Southeast,Sun/Hol,1300,
502,Southeast,Sat,2800,
502,Southeast,Mon-Fri,3000,
502,Southeast,Sun/Hol,2100,
503,Southeast,Sat,2900,
503,Southeast,Mon-Fri,4200,
503,Southeast,Sun/Hol,2400,
509,Southeast,Mon-Fri,200,
531,Southeast,Sat,800,
531,Southeast,Mon-Fri,1500,
531,Southeast,Sun/Hol,700,
555,Southeast,Sat,900,
555,Southeast,Mon-Fri,1700,
555,Southeast,Sun/Hol,600,
560,Southeast,Sat,,Route excluded due to poor data quality
560,Southeast,Mon-Fri,,Route excluded due to poor data quality
560,Southeast,Sun/Hol,,Route excluded due to poor data quality
561,Southeast,Sat,,Route excluded due to poor data quality
561,Southeast,Mon-Fri,,Route excluded due to poor data quality
561,Southeast,Sun/Hol,,Route excluded due to poor data quality
562,Southeast,Sat,,Route excluded due to poor data quality
562,Southeast,Mon-Fri,,Route excluded due to poor data quality
562,Southeast,Sun/Hol,,Route excluded due to poor data quality
563,Southeast,Sat,,Route excluded due to poor data quality
563,Southeast,Mon-Fri,,Route excluded due to poor data quality
563,Southeast,Sun/Hol,,Route excluded due to poor data quality
564,Southeast,Sat,,Route excluded due to poor data quality
564,Southeast,Mon-Fri,,Route excluded due to poor data quality
564,Southeast,Sun/Hol,,Route excluded due to poor data quality
595,Southeast,Sat,600,
595,Southeast,Mon-Fri,1000,
595,Southeast,Sun/Hol,400,
601,Southwest,Sat,1700,
601,Southwest,Mon-Fri,1900,
601,Southwest,Sun/Hol,1300,
602,Southwest,Mon-Fri,100,
603,Southwest,Mon-Fri,,<100 average daily boardings
604,Southwest,Mon-Fri,,<100 average daily boardings
606,Southwest,Mon-Fri,,Route excluded due to poor data quality
608,Southwest,Mon-Fri,,Route excluded due to poor data quality
609,Southwest,Sat,,<100 average daily boardings
609,Southwest,Mon-Fri,,<100 average daily boardings
609,Southwest,Sun/Hol,,<100 average daily boardings
614,Southwest,Sat,,<100 average daily boardings
614,Southwest,Mon-Fri,,<100 average daily boardings
614,Southwest,Sun/Hol,,<100 average daily boardings
616,Southwest,Sat,,<100 average daily boardings
616,Southwest,Mon-Fri,,<100 average daily boardings
616,Southwest,Sun/Hol,,<100 average daily boardings
617,Southwest,Sat,,Route excluded due to poor data quality
617,Southwest,Mon-Fri,,Route excluded due to poor data quality
617,Southwest,Sun/Hol,,Route excluded due to poor data quality
618,Southwest,Sat,,Route excluded due to poor data quality
618,Southwest,Mon-Fri,,Route excluded due to poor data quality
618,Southwest,Sun/Hol,,Route excluded due to poor data quality
619,Southwest,Sat,,Route excluded due to poor data quality
619,Southwest,Mon-Fri,,Route excluded due to poor data quality
619,Southwest,Sun/Hol,,Route excluded due to poor data quality
620,Southwest,Sat,900,
620,Southwest,Mon-Fri,800,
620,Southwest,Sun/Hol,1000,
640,Southeast,Sat,800,
640,Southeast,Mon-Fri,2000,
640,Southeast,Sun/Hol,700,
701,Maple Ridge/Pitt Meadows,Sat,1900,
701,Maple Ridge/Pitt Meadows,Mon-Fri,2500,
701,Maple Ridge/Pitt Meadows,Sun/Hol,1500,
719,Maple Ridge/Pitt Meadows,Sat,,<100 average daily boardings
719,Maple Ridge/Pitt Meadows,Mon-Fri,,<100 average daily boardings
722,Maple Ridge/Pitt Meadows,Sat,,<100 average daily boardings
722,Maple Ridge/Pitt Meadows,Mon-Fri,,<100 average daily boardings
733,Maple Ridge/Pitt Meadows,Sat,,<100 average daily boardings
733,Maple Ridge/Pitt Meadows,Mon-Fri,100,
733,Maple Ridge/Pitt Meadows,Sun/Hol,,<100 average daily boardings
741,Maple Ridge/Pitt Meadows,Sat,,<100 average daily boardings
741,Maple Ridge/Pitt Meadows,Mon-Fri,,<100 average daily boardings
741,Maple Ridge/Pitt Meadows,Sun/Hol,,<100 average daily boardings
743,Maple Ridge/Pitt Meadows,Sat,,<100 average daily boardings
743,Maple Ridge/Pitt Meadows,Mon-Fri,100,
743,Maple Ridge/Pitt Meadows,Sun/Hol,,<100 average daily boardings
744,Maple Ridge/Pitt Meadows,Sat,,<100 average daily boardings
744,Maple Ridge/Pitt Meadows,Mon-Fri,200,
745,Maple Ridge/Pitt Meadows,Sat,,<100 average daily boardings
745,Maple Ridge/Pitt Meadows,Mon-Fri,200,
745,Maple Ridge/Pitt Meadows,Sun/Hol,,<100 average daily boardings
746,Maple Ridge/Pitt Meadows,Sat,,<100 average daily boardings
746,Maple Ridge/Pitt Meadows,Mon-Fri,200,
746,Maple Ridge/Pitt Meadows,Sun/Hol,,<100 average daily boardings
748,Maple Ridge/Pitt Meadows,Sat,,<100 average daily boardings
748,Maple Ridge/Pitt Meadows,Mon-Fri,,<100 average daily boardings
749,Maple Ridge/Pitt Meadows,Sat,,<100 average daily boardings
749,Maple Ridge/Pitt Meadows,Mon-Fri,,<100 average daily boardings
791,Maple Ridge/Pitt Meadows,Mon-Fri,1300,
R1,Southeast,Sat,7600,
R1,Southeast,Mon-Fri,8700,
R1,Southeast,Sun/Hol,6300,
R2,North Shore,Sat,3200,
R2,North Shore,Mon-Fri,3700,
R2,North Shore,Sun/Hol,2400,
R3,Maple Ridge/Pitt Meadows,Sat,1200,
R3,Maple Ridge/Pitt Meadows,Mon-Fri,1500,
R3,Maple Ridge/Pitt Meadows,Sun/Hol,1000,
R4,Vancouver/UBC,Sat,10500,
R4,Vancouver/UBC,Mon-Fri,13300,
R4,Vancouver/UBC,Sun/Hol,8200,
R5,Burnaby/New Westminster,Sat,5000,
R5,Burnaby/New Westminster,Mon-Fri,7200,
R5,Burnaby/New Westminster,Sun/Hol,3800,
