Route,Subregion,DayType,AvgDailyBoardings,Notes
412,Southwest,Mon-Fri,200,
412,Southwest,Sat,<100 average daily boardings,
413,Southwest,Mon-Fri,200,
413,Southwest,Sat,200,
413,Southwest,Sun/Hol,100,
414,Southwest,Mon-Fri,100,
414,Southwest,Sat,100,
416,Southwest,Mon-Fri,100,
418,Southwest,Mon-Fri,900,
430,Southwest,Mon-Fri,4600,
430,Southwest,Sat,3400,
430,Southwest,Sun/Hol,2800,
501,Southeast,Mon-Fri,3800,
501,Southeast,Sat,2400,
501,Southeast,Sun/Hol,1600,
502,Southeast,Mon-Fri,3600,
502,Southeast,Sat,3200,
502,Southeast,Sun/Hol,2400,
503,Southeast,Mon-Fri,4800,
503,Southeast,Sat,3200,
503,Southeast,Sun/Hol,2700,
509,Southeast,Mon-Fri,200,
531,Southeast,Mon-Fri,1800,
531,Southeast,Sat,1000,
531,Southeast,Sun/Hol,900,
555,Southeast,Mon-Fri,2500,
555,Southeast,Sat,1100,
555,Southeast,Sun/Hol,700,
560,Southeast,Mon-Fri,,Route excluded due to poor data quality
560,Southeast,Sat,,Route excluded due to poor data quality
560,Southeast,Sun/Hol,,Route excluded due to poor data quality
561,Southeast,Mon-Fri,,Route excluded due to poor data quality
561,Southeast,Sat,,Route excluded due to poor data quality
561,Southeast,Sun/Hol,,Route excluded due to poor data quality
562,Southeast,Mon-Fri,,Route excluded due to poor data quality
562,Southeast,Sat,,Route excluded due to poor data quality
562,Southeast,Sun/Hol,,Route excluded due to poor data quality
563,Southeast,Mon-Fri,,Route excluded due to poor data quality
563,Southeast,Sat,,Route excluded due to poor data quality
563,Southeast,Sun/Hol,,Route excluded due to poor data quality
564,Southeast,Mon-Fri,,Route excluded due to poor data quality
564,Southeast,Sat,,Route excluded due to poor data quality
564,Southeast,Sun/Hol,,Route excluded due to poor data quality
595,Southeast,Mon-Fri,1100,
595,Southeast,Sat,700,
595,Southeast,Sun/Hol,600,
601,Southwest,Mon-Fri,2500,
601,Southwest,Sat,1900,
601,Southwest,Sun/Hol,1600,
602,Southwest,Mon-Fri,200,
603,Southwest,Mon-Fri,,Route excluded due to poor data quality
603,Southwest,Sat,,Route excluded due to poor data quality
603,Southwest,Sun/Hol,,Route excluded due to poor data quality
604,Southwest,Mon-Fri,,Route excluded due to poor data quality
604,Southwest,Sat,,Route excluded due to poor data quality
604,Southwest,Sun/Hol,,Route excluded due to poor data quality
606,Southwest,Mon-Fri,,Route excluded due to poor data quality
606,Southwest,Sat,,Route excluded due to poor data quality
606,Southwest,Sun/Hol,,Route excluded due to poor data quality
608,Southwest,Mon-Fri,,Route excluded due to poor data quality
608,Southwest,Sat,,Route excluded due to poor data quality
608,Southwest,Sun/Hol,,Route excluded due to poor data quality
609,Southwest,Mon-Fri,<100 average daily boardings,
609,Southwest,Sat,<100 average daily boardings,
609,Southwest,Sun/Hol,<100 average daily boardings,
614,Southwest,Mon-Fri,,Route excluded due to poor data quality
614,Southwest,Sat,,Route excluded due to poor data quality
614,Southwest,Sun/Hol,,Route excluded due to poor data quality
616,Southwest,Mon-Fri,100,
616,Southwest,Sat,<100 average daily boardings,
616,Southwest,Sun/Hol,<100 average daily boardings,
618,Southwest,Mon-Fri,,Route excluded due to poor data quality
618,Southwest,Sat,,Route excluded due to poor data quality
618,Southwest,Sun/Hol,,Route excluded due to poor data quality
619,Southwest,Mon-Fri,,Route excluded due to poor data quality
619,Southwest,Sat,,Route excluded due to poor data quality
619,Southwest,Sun/Hol,,Route excluded due to poor data quality
620,Southwest,Mon-Fri,1100,
620,Southwest,Sat,1400,
620,Southwest,Sun/Hol,1600,
640,Southeast,Mon-Fri,2700,
640,Southeast,Sat,1100,
640,Southeast,Sun/Hol,900,
701,Maple Ridge/Pitt Meadows,Mon-Fri,2900,
701,Maple Ridge/Pitt Meadows,Sat,2100,
701,Maple Ridge/Pitt Meadows,Sun/Hol,1700,
719,Maple Ridge/Pitt Meadows,Mon-Fri,<100 average daily boardings,
719,Maple Ridge/Pitt Meadows,Sat,<100 average daily boardings,
722,Maple Ridge/Pitt Meadows,Mon-Fri,<100 average daily boardings,
722,Maple Ridge/Pitt Meadows,Sat,<100 average daily boardings,
733,Maple Ridge/Pitt Meadows,Mon-Fri,100,
733,Maple Ridge/Pitt Meadows,Sat,100,
733,Maple Ridge/Pitt Meadows,Sun/Hol,100,
741,Maple Ridge/Pitt Meadows,Mon-Fri,100,
741,Maple Ridge/Pitt Meadows,Sat,100,
741,Maple Ridge/Pitt Meadows,Sun/Hol,<100 average daily boardings,
743,Maple Ridge/Pitt Meadows,Mon-Fri,100,
743,Maple Ridge/Pitt Meadows,Sat,100,
743,Maple Ridge/Pitt Meadows,Sun/Hol,<100 average daily boardings,
744,Maple Ridge/Pitt Meadows,Mon-Fri,200,
744,Maple Ridge/Pitt Meadows,Sat,100,
745,Maple Ridge/Pitt Meadows,Mon-Fri,300,
745,Maple Ridge/Pitt Meadows,Sat,100,
745,Maple Ridge/Pitt Meadows,Sun/Hol,100,
746,Maple Ridge/Pitt Meadows,Mon-Fri,200,
746,Maple Ridge/Pitt Meadows,Sat,100,
746,Maple Ridge/Pitt Meadows,Sun/Hol,<100 average daily boardings,
748,Maple Ridge/Pitt Meadows,Mon-Fri,<100 average daily boardings,
748,Maple Ridge/Pitt Meadows,Sat,<100 average daily boardings,
749,Maple Ridge/Pitt Meadows,Mon-Fri,<100 average daily boardings,
749,Maple Ridge/Pitt Meadows,Sat,<100 average daily boardings,
791,Maple Ridge/Pitt Meadows,Mon-Fri,1600,
R1,Southeast,Mon-Fri,11000,
R1,Southeast,Sat,8400,
R1,Southeast,Sun/Hol,7300,
R2,North Shore,Mon-Fri,4400,
R2,North Shore,Sat,3600,
R2,North Shore,Sun/Hol,2900,
R3,Maple Ridge/Pitt Meadows,Mon-Fri,2100,
R3,Maple Ridge/Pitt Meadows,Sat,1400,
R3,Maple Ridge/Pitt Meadows,Sun/Hol,1200,
R4,Vancouver/UBC,Mon-Fri,22200,
R4,Vancouver/UBC,Sat,13400,
R4,Vancouver/UBC,Sun/Hol,11300,
R5,Burnaby/New Westminster,Mon-Fri,12700,
R5,Burnaby/New Westminster,Sat,7600,
R5,Burnaby/New Westminster,Sun/Hol,6000,
